Type,Airport_Source,Airport Name,Airport_Dest,Passenger-Arr 2019,Passenger-Arr 2020,Passenger-Dep 2019,Passenger-Dep 2020,%Chg Arr,%Chg Dep,Rank_arrivals,Rank_dep,Rank_flights
Destination Airports,PHX,Seattle-Tacoma International Airport,SEA,907995,456136,,,,,,,
Destination Airports,PHX,Dallas/Fort Worth International,DFW,684152,439272,,,,,,,
Destination Airports,PHX,Chicago O'Hare International,ORD,844630,400738,,,,,,,
Destination Airports,PHX,Los Angeles International,LAX,849708,392330,,,,,,,
Destination Airports,PHX,Minneapolis−Saint Paul International Airport,MSP,699985,351987,,,,,,,
Destination Airports,PHX,Salt Lake City International Airport,SLC,560488,332487,,,,,,,
Destination Airports,PHX,McCarran International Airport,LAS,667530,323792,,,,,,,
Destination Airports,PHX,San Diego International Airport,SAN,670676,309620,,,,,,,
Destination Airports,PHX,Charlotte Douglas International Airport,CLT,497501,266651,,,,,,,
Summary,MCO,Orlando International Airport,MCO,"21,210k","9,648k","21,105k","9,688k",-54.51%,-54.10%,9,9,13
Destination Airports,MCO,Hartsfield-Jackson Atlanta International Airport,ATL,1498571,630055,,,,,,,
Destination Airports,MCO,Newark Liberty International Airport,EWR,1035078,506167,,,,,,,
Destination Airports,MCO,Philadelphia International Airport,PHL,920336,458309,,,,,,,
Destination Airports,MCO,San Juan Airport,SJU,737668,454777,,,,,,,
Destination Airports,MCO,Dallas/Fort Worth International,DFW,694927,412343,,,,,,,
Destination Airports,MCO,Charlotte Douglas International Airport,CLT,678473,401840,,,,,,,
Destination Airports,MCO,Chicago O'Hare International,ORD,767993,363121,,,,,,,
Destination Airports,MCO,Denver International,DEN,594878,350304,,,,,,,
Destination Airports,MCO,Detroit Metropolitan Wayne County Airport,DTW,677214,317664,,,,,,,
Destination Airports,MCO,Baltimore/Washington International Thurgood Marshall Airport,BWI,588467,308482,,,,,,,
Summary,SEA,Seattle-Tacoma International Airport,SEA,"22,275k","8,846k","22,209k","8,799k",-60.29%,-60.38%,10,10,7
Destination Airports,SEA,Baltimore/Washington International Thurgood Marshall Airport,ANC,1029014,491567,,,,,,,
Destination Airports,SEA,Phoenix Sky Harbor International,PHX,899653,453327,,,,,,,
Destination Airports,SEA,Los Angeles International,LAX,1244082,433254,,,,,,,
Destination Airports,SEA,Denver International,DEN,925245,406252,,,,,,,
Destination Airports,SEA,McCarran International,LAS,932922,396575,,,,,,,
Destination Airports,SEA,San Francisco International Airport,SFO,1118037,302460,,,,,,,
Destination Airports,SEA,Dallas/Fort Worth International,DFW,628678,299431,,,,,,,
Destination Airports,SEA,Portland International Airport,PDX,663737,295333,,,,,,,
Destination Airports,SEA,Chicago O'Hare International,ORD,808282,281969,,,,,,,
Destination Airports,SEA,San Diego International Airport,SAN,683804,266543,,,,,,,
